nace_code_level1,nace_code_level2,nace_code_level3,nace_code_level4,isic_code_level1,isic_code_level2,isic_code_level3,isic_code_level4,nace_description_level1,nace_description_level2,nace_description_level3,nace_description_level4
A,01,01.1,01.11,A,01,011,0111,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of cereals (except rice), leguminous crops and oil seeds"
A,01,01.1,01.12,A,01,011,0112,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of rice
A,01,01.1,01.13,A,01,011,0113,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of vegetables and melons, roots and tubers"
A,01,01.1,01.14,A,01,011,0114,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of sugar cane
A,01,01.1,01.15,A,01,011,0115,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of tobacco
A,01,01.1,01.16,A,01,011,0116,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of fibre crops
A,01,01.1,01.19,A,01,011,0119,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of other non-perennial crops
A,01,01.2,01.21,A,01,012,0121,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of grapes
A,01,01.2,01.22,A,01,012,0122,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of tropical and subtropical fruits
A,01,01.2,01.23,A,01,012,0123,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of citrus fruits
A,01,01.2,01.24,A,01,012,0124,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of pome fruits and stone fruits
A,01,01.2,01.25,A,01,012,0125,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other tree and bush fruits and nuts
A,01,01.2,01.26,A,01,012,0126,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of oleaginous fruits
A,01,01.2,01.27,A,01,012,0127,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of beverage crops
A,01,01.2,01.28,A,01,012,0128,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,"Growing of spices, aromatic, drug and pharmaceutical crops"
A,01,01.2,01.29,A,01,012,0129,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other perennial crops
A,01,01.3,01.30,A,01,013,0130,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,Plant propagation
A,01,01.4,01.41,A,01,014,0141,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of dairy cattle
A,01,01.4,01.42,A,01,014,0141,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other cattle and buffaloes
A,01,01.4,01.43,A,01,014,0142,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of horses and other equines
A,01,01.4,01.44,A,01,014,0143,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of camels and camelids
A,01,01.4,01.45,A,01,014,0144,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of sheep and goats
A,01,01.4,01.46,A,01,014,0145,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of swine/pigs
A,01,01.4,01.47,A,01,014,0146,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of poultry
A,01,01.4,01.49,A,01,014,0149,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other animals
A,01,01.5,01.50,A,01,015,0150,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming
A,01,01.6,01.61,A,01,016,0161,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for crop production
A,01,01.6,01.62,A,01,016,0162,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for animal production
