state_fips,county_fips,state_county_fips,county_name_short,county_name_long,state_name_long,state_name_short,cbsa_fips,csa_fips,metdiv_fips,cbsa_name_long,csa_name_long,metro_micro_sa,central_outlying_county
31,039,31039,Cuming,Cuming County,Nebraska,NE,NA,NA,NA,NA,NA,NA,NA
53,069,53069,Wahkiakum,Wahkiakum County,Washington,WA,NA,NA,NA,NA,NA,NA,NA
35,011,35011,De Baca,De Baca County,New Mexico,NM,NA,NA,NA,NA,NA,NA,NA
31,109,31109,Lancaster,Lancaster County,Nebraska,NE,30700,339,NA,"Lincoln, NE","Lincoln-Beatrice, NE",metro,central
31,129,31129,Nuckolls,Nuckolls County,Nebraska,NE,NA,NA,NA,NA,NA,NA,NA
72,085,72085,Las Piedras,Las Piedras Municipio,Puerto Rico,PR,41980,490,NA,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",metro,central
46,099,46099,Minnehaha,Minnehaha County,South Dakota,SD,43620,NA,NA,"Sioux Falls, SD",NA,metro,central
48,327,48327,Menard,Menard County,Texas,TX,NA,NA,NA,NA,NA,NA,NA
06,091,06091,Sierra,Sierra County,California,CA,NA,NA,NA,NA,NA,NA,NA
21,053,21053,Clinton,Clinton County,Kentucky,KY,NA,NA,NA,NA,NA,NA,NA
39,063,39063,Hancock,Hancock County,Ohio,OH,22300,534,NA,"Findlay, OH","Toledo-Findlay-Tiffin, OH",micro,central
48,189,48189,Hale,Hale County,Texas,TX,38380,352,NA,"Plainview, TX","Lubbock-Plainview-Levelland, TX",micro,central
01,027,01027,Clay,Clay County,Alabama,AL,NA,NA,NA,NA,NA,NA,NA
48,011,48011,Armstrong,Armstrong County,Texas,TX,11100,108,NA,"Amarillo, TX","Amarillo-Pampa-Borger, TX",metro,outlying
39,003,39003,Allen,Allen County,Ohio,OH,30620,338,NA,"Lima, OH","Lima-Van Wert-Celina, OH",metro,central
13,189,13189,McDuffie,McDuffie County,Georgia,GA,12260,NA,NA,"Augusta-Richmond County, GA-SC",NA,metro,outlying
55,111,55111,Sauk,Sauk County,Wisconsin,WI,12660,357,NA,"Baraboo, WI","Madison-Janesville-Beloit, WI",micro,central
05,137,05137,Stone,Stone County,Arkansas,AR,NA,NA,NA,NA,NA,NA,NA
41,063,41063,Wallowa,Wallowa County,Oregon,OR,NA,NA,NA,NA,NA,NA,NA
42,007,42007,Beaver,Beaver County,Pennsylvania,PA,38300,430,NA,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",metro,central
28,061,28061,Jasper,Jasper County,Mississippi,MS,29860,279,NA,"Laurel, MS","Hattiesburg-Laurel, MS",micro,outlying
29,083,29083,Henry,Henry County,Missouri,MO,NA,NA,NA,NA,NA,NA,NA
08,109,08109,Saguache,Saguache County,Colorado,CO,NA,NA,NA,NA,NA,NA,NA
37,037,37037,Chatham,Chatham County,North Carolina,NC,20500,450,NA,"Durham-Chapel Hill, NC","Raleigh-Durham-Cary, NC",metro,central
49,033,49033,Rich,Rich County,Utah,UT,NA,NA,NA,NA,NA,NA,NA
40,001,40001,Adair,Adair County,Oklahoma,OK,NA,NA,NA,NA,NA,NA,NA
39,085,39085,Lake,Lake County,Ohio,OH,17460,184,NA,"Cleveland-Elyria, OH","Cleveland-Akron-Canton, OH",metro,central
51,775,51775,Salem,Salem city,Virginia,VA,40220,NA,NA,"Roanoke, VA",NA,metro,central
51,121,51121,Montgomery,Montgomery County,Virginia,VA,13980,NA,NA,"Blacksburg-Christiansburg, VA",NA,metro,central
47,065,47065,Hamilton,Hamilton County,Tennessee,TN,16860,174,NA,"Chattanooga, TN-GA","Chattanooga-Cleveland-Dalton, TN-GA",metro,central
35,035,35035,Otero,Otero County,New Mexico,NM,10460,NA,NA,"Alamogordo, NM",NA,micro,central
35,003,35003,Catron,Catron County,New Mexico,NM,NA,NA,NA,NA,NA,NA,NA
01,091,01091,Marengo,Marengo County,Alabama,AL,NA,NA,NA,NA,NA,NA,NA
56,023,56023,Lincoln,Lincoln County,Wyoming,WY,NA,NA,NA,NA,NA,NA,NA
29,011,29011,Barton,Barton County,Missouri,MO,NA,NA,NA,NA,NA,NA,NA
48,057,48057,Calhoun,Calhoun County,Texas,TX,38920,544,NA,"Port Lavaca, TX","Victoria-Port Lavaca, TX",micro,central
51,735,51735,Poquoson,Poquoson city,Virginia,VA,47260,545,NA,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk, VA-NC",metro,central
54,075,54075,Pocahontas,Pocahontas County,West Virginia,WV,NA,NA,NA,NA,NA,NA,NA
48,077,48077,Clay,Clay County,Texas,TX,48660,NA,NA,"Wichita Falls, TX",NA,metro,outlying
